candidate_id,lat,lon,n_cells_served,total_load_kw,avg_service_dist_m,location_name,city,road,suitability,suitability_reason,nearby_restrictions
54.0,33.34711026819541,-111.9116462798229,1.0,11290.7,0.0,"South McClintock Drive, Tempe",Tempe,South McClintock Drive,restricted,"Near: unnamed, unnamed",natural=water; leisure=park; leisure=park
55.0,33.37416639566046,-111.9119284570424,1.0,36674.9,0.0,"East Edgewater Drive, The Lakes, Tempe",Tempe,East Edgewater Drive,restricted,"Near: unnamed, unnamed",natural=water; natural=water; leisure=park
56.0,33.401222402896394,-111.91221101152453,1.0,49907.3,0.0,"East Gaylon Drive, Tempe",Tempe,East Gaylon Drive,restricted,"Near: unnamed, unnamed",leisure=park; leisure=park; leisure=park
57.0,33.45533405647839,-111.9127772541777,1.0,33391.2,0.0,"East McKinley Street, Scottsdale",Scottsdale,East McKinley Street,restricted,"Near: Vista South Lake, McKellips Lake",natural=water; natural=water; natural=water
58.0,33.48238970272344,-111.9130609433017,1.0,37145.6,0.0,"North 78th Street, Scottsdale",Scottsdale,North 78th Street,suitable,No restricted areas detected within 500m,
59.0,33.50944522853735,-111.91334501159426,1.0,36543.7,0.0,"East Chaparral Road, Scottsdale",Scottsdale,East Chaparral Road,restricted,"Near: unnamed, unnamed",natural=water; natural=water; natural=water
60.0,33.53650063386988,-111.91362945953426,1.0,20953.0,0.0,"North 77th Street, Scottsdale",Scottsdale,North 77th Street,restricted,"Near: unnamed, unnamed",natural=water; natural=water; natural=water
61.0,33.563555918670865,-111.91391428760163,1.0,4821.3,0.0,Scottsdale,Scottsdale,,restricted,"Near: unnamed, Scottsdale Rotary Park",natural=water; leisure=park; natural=water
62.0,33.3473427534692,-111.87940887935316,1.0,15577.0,0.0,"West Comstock Drive, Chandler",Chandler,West Comstock Drive,restricted,"Near: unnamed, unnamed",leisure=park; natural=water; natural=water
63.0,33.3743991187295,-111.87968108148802,1.0,33250.5,0.0,"South Dobson Road, Dobson Shores, Mesa",Mesa,South Dobson Road,restricted,"Near: unnamed, unnamed",natural=water; natural=water; natural=water
64.0,33.40145536390514,-111.87995364755203,1.0,47570.7,0.0,"West del Campo Circle, Mesa",Mesa,West del Campo Circle,restricted,Near: Daumler Park,leisure=park
65.0,33.455567493800814,-111.88049987330157,1.0,4693.5,0.0,North 92nd Street,,North 92nd Street,suitable,No restricted areas detected within 500m,
70.0,33.34756687162691,-111.84717111541171,1.0,10244.3,0.0,"West Mission Drive, Chandler",Chandler,West Mission Drive,restricted,"Near: unnamed, unnamed",leisure=park; leisure=park; leisure=park
71.0,33.37462346612543,-111.84743334200456,1.0,26216.1,0.0,"West Kiowa Avenue, Mesa",Mesa,West Kiowa Avenue,restricted,"Near: unnamed, unnamed",leisure=park; leisure=park; leisure=park
72.0,33.401679940678534,-111.84769591919225,1.0,22857.3,0.0,"West 7th Avenue, Mesa",Mesa,West 7th Avenue,restricted,"Near: Powell Estates Subdivision Mini Park, unnamed",leisure=park; leisure=park; leisure=park
73.0,33.42873629523602,-111.84795884741622,1.0,24033.4,0.0,"West Rio Salado Parkway, Mesa",Mesa,West Rio Salado Parkway,suitable,No restricted areas detected within 500m,
74.0,33.45579252974781,-111.84822212711886,5.0,7943.1,3249.0,West McKellips Road,,West McKellips Road,suitable,No restricted areas detected within 500m,
81.0,33.53717781082823,-111.81670585293358,22.0,3761.1,7507.0,East Cactus Wren Road,,East Cactus Wren Road,suitable,No restricted areas detected within 500m,
