patch_id,label,center_lon,center_lat,county_geoid,positive_pixels,area_m2,mean_confidence,max_confidence,bbox_width_m,bbox_height_m,voltage,substation_type,substation_name,operator,osm_id,geom_source,source,split
patch_0333767_1120845,positive,-112.08479612969754,33.37671114204767,4013,46253,16651.08000000126,0.9375520348548889,1.0,121.80000000000462,169.80000000000643,,detected,,,-1,model,local_inference,prediction
patch_0333685_1120745,positive,-112.07431804606547,33.367786679109756,4013,2124,764.640000000058,0.6577998995780945,0.7939453125,33.60000000000127,36.60000000000139,,detected,,,-1,model,local_inference,prediction
patch_0333629_1120777,positive,-112.07838104228192,33.36359810286121,4013,1058,380.8800000000289,0.5582873225212097,0.59912109375,31.200000000001182,28.80000000000109,,detected,,,-1,model,local_inference,prediction
patch_0333683_1120284,positive,-112.02741527304038,33.36834878657075,4013,1712,616.3200000000467,0.6307273507118225,0.8935546875,27.000000000001023,37.80000000000143,,detected,,,-1,model,local_inference,prediction
patch_0333658_1121320,positive,-112.13212094450968,33.36537083129188,4013,3038,1093.6800000000828,0.6266980767250061,0.91259765625,43.80000000000166,51.00000000000193,,detected,,,-1,model,local_inference,prediction
patch_0333630_1121287,positive,-112.12891961489119,33.36367371999828,4013,19690,7088.400000000537,0.974078893661499,1.0,88.20000000000334,84.6000000000032,,detected,,,-1,model,local_inference,prediction
patch_0333547_1121253,positive,-112.12500239021628,33.35494535902644,4013,1526,549.3600000000416,0.6236106753349304,0.78369140625,36.60000000000139,25.200000000000955,,detected,,,-1,model,local_inference,prediction
patch_0333518_1121484,positive,-112.14730839215044,33.35184338709343,4013,1634,588.2400000000446,0.6558403372764587,0.93359375,38.400000000001455,48.60000000000184,,detected,,,-1,model,local_inference,prediction
patch_0334363_1120943,positive,-112.09534033677312,33.435195112539645,4013,1807,650.5200000000493,0.665850818157196,0.76953125,29.400000000001114,34.200000000001296,,detected,,,-1,model,local_inference,prediction
patch_0334366_1120613,positive,-112.06232675244355,33.437598203315275,4013,1763,634.6800000000482,0.7499332427978516,0.9453125,28.80000000000109,25.800000000000978,,detected,,,-1,model,local_inference,prediction
patch_0334333_1121174,positive,-112.11770315829881,33.432828290735564,4013,10881,3917.1600000002973,0.9672708511352539,1.0,64.80000000000246,64.80000000000246,,detected,,,-1,model,local_inference,prediction
patch_0334250_1121239,positive,-112.12461064830015,33.423945194640474,4013,3682,1325.5200000001003,0.605009913444519,0.7578125,40.800000000001546,52.800000000002,,detected,,,-1,model,local_inference,prediction
patch_0334251_1121074,positive,-112.10836326861455,33.425658065545015,4013,3979,1432.4400000001087,0.5854212641716003,0.6083984375,30.000000000001137,55.800000000002115,,detected,,,-1,model,local_inference,prediction
patch_0334255_1120644,positive,-112.06368750657211,33.42613043266692,4013,4562,1642.3200000001243,0.716375470161438,0.8056640625,54.60000000000207,39.00000000000148,,detected,,,-1,model,local_inference,prediction
patch_0334196_1121040,positive,-112.10314486345708,33.42024713133793,4013,857,308.5200000000234,0.5491329431533813,0.5830078125,14.400000000000546,32.40000000000123,,detected,,,-1,model,local_inference,prediction
patch_0334196_1121007,positive,-112.10051031499641,33.41858215673511,4013,4353,1567.0800000001186,0.5788885354995728,0.6826171875,85.20000000000323,27.600000000001046,,detected,,,-1,model,local_inference,prediction
